Database initialized successfully
(node:24064) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-19T06:43:57.629Z] POST /api/v1/auth/login
[2026-05-19T06:45:14.288Z] POST /api/v1/auth/login
[2026-05-19T06:45:26.211Z] POST /api/v1/auth/login
[2026-05-19T06:45:26.644Z] GET /api/v1/alerts
[2026-05-19T06:46:01.834Z] POST /api/v1/auth/login
[2026-05-19T06:46:02.491Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:02.761Z] GET /api/v1/alerts
[2026-05-19T06:46:02.764Z] GET /api/v1/alerts
[2026-05-19T06:46:03.753Z] POST /api/v1/auth/login
[2026-05-19T06:46:04.376Z] GET /api/v1/alerts
[2026-05-19T06:46:04.380Z] GET /api/v1/alerts
[2026-05-19T06:46:05.205Z] POST /api/v1/auth/login
[2026-05-19T06:46:05.817Z] GET /api/v1/alerts
[2026-05-19T06:46:05.820Z] GET /api/v1/alerts
[2026-05-19T06:46:06.718Z] POST /api/v1/auth/login
[2026-05-19T06:46:07.271Z] GET /api/v1/alerts
[2026-05-19T06:46:07.274Z] GET /api/v1/alerts
[2026-05-19T06:46:08.039Z] POST /api/v1/auth/login
[2026-05-19T06:46:08.673Z] GET /api/v1/alerts
[2026-05-19T06:46:08.675Z] GET /api/v1/alerts
[2026-05-19T06:46:09.487Z] POST /api/v1/auth/login
[2026-05-19T06:46:10.064Z] GET /api/v1/alerts
[2026-05-19T06:46:10.066Z] GET /api/v1/alerts
[2026-05-19T06:46:10.983Z] POST /api/v1/auth/login
[2026-05-19T06:46:11.614Z] GET /api/v1/alerts
[2026-05-19T06:46:11.616Z] GET /api/v1/alerts
[2026-05-19T06:46:13.340Z] POST /api/v1/auth/login
[2026-05-19T06:46:13.931Z] GET /api/v1/alerts
[2026-05-19T06:46:13.934Z] GET /api/v1/alerts
[2026-05-19T06:46:15.418Z] POST /api/v1/auth/login
[2026-05-19T06:46:16.003Z] GET /api/v1/alerts
[2026-05-19T06:46:16.006Z] GET /api/v1/alerts
[2026-05-19T06:46:17.717Z] POST /api/v1/auth/login
[2026-05-19T06:46:18.297Z] GET /api/v1/alerts
[2026-05-19T06:46:18.301Z] GET /api/v1/alerts
[2026-05-19T06:46:19.900Z] POST /api/v1/auth/login
[2026-05-19T06:46:20.813Z] GET /api/v1/alerts
[2026-05-19T06:46:20.817Z] GET /api/v1/alerts
[2026-05-19T06:46:21.029Z] POST /api/v1/auth/login
[2026-05-19T06:46:21.363Z] GET /api/v1/alerts
[2026-05-19T06:46:21.379Z] POST /api/v1/auth/login
